Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Kustia,34320,9396,3.64,,1974,,0.951574807,33
Wheat,Noakhali,525,147,20.75,,1974,,0.951375898,32
Wheat,Barisal,165,48,5,,1974,,0.950549856,32
Wheat,Faridpur,45275,13010,0.25,,1974,,0.950509769,32
Wheat,Chittagonj,0,0,17.5,,1974,,0.950058868,33
Wheat,Mymensingh,7960,1604,0,,1974,,0.949875184,31
Wheat,Bogra,8080,3862,0.75,,1974,,0.949485786,31
Wheat,Rangpur,15100,5648,3.64,,1974,,0.948962055,32
Wheat,Comilla,38965,19075,16.25,,1974,,0.948784618,31
Wheat,Rajshahi,52400,14656,0,,1974,,0.948613539,34
Wheat,Jessore,12165,4112,2.25,,1974,,0.948483771,33
Wheat,Chittagonj  H.T,0,0,17.5,,1974,,0.948118034,34
Wheat,Sylhet,620,214,2,,1974,,0.947666122,33
Wheat,Dhaka,13850,4080,3.642857143,,1974,,0.947199825,33
Wheat,Dinajpur,9455,3058,3.64,,1974,,0.946658609,33
Wheat,Pabna,63845,23513,3.64,,1974,,0.946454649,33
Wheat,Patuakhali,0,0,3.64,,1974,,0.945510329,33
Wheat,Kustia,39300,39008,3.5,,1975,,0.945317456,33
Wheat,Tangail,12300,5925,3.5,,1975,,0.942416628,37
Wheat,Chittagonj  H.T,0,0,37.5,,1975,,0.941977986,33
Wheat,Bogra,14780,9771,2.75,,1975,,0.940657365,36
Wheat,Barisal,500,211,11.25,,1975,,0.939487121,37
Wheat,Sylhet,2000,691,30.75,,1975,,0.939102511,36
Wheat,Dhaka,12980,5367,13.75,,1975,,0.938020003,33
Wheat,Noakhali,5430,3192,52.5,,1975,,0.937749701,32
Wheat,Faridpur,33880,11789,9.25,,1975,,0.937460153,32
Wheat,Rangpur,14265,7029,2,,1975,,0.936894906,36
Wheat,Jessore,21092,16014,3.5,,1975,,0.935164835,33
