Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,8,26,20,4,1978
Wheat,9,2,2,1,1978
Wheat,10,7,5,4,1978
Wheat,11,52,38,4,1978
Wheat,12,8,5,0,1978
Wheat,13,2,1,2,1978
Wheat,14,42,29,4,1978
Wheat,15,0,0,26,1978
Wheat,16,61,28,18,1978
Wheat,17,14,7,2,1978
Wheat,18,5,2,1,1978
Wheat,19,16,12,4,1978
Wheat,20,0,0,23,1979
Wheat,1,31,28,16,1979
Wheat,2,0,0,23,1979
Wheat,3,0,0,23,1979
Wheat,4,63,47,13,1979
Wheat,5,22,14,31,1979
Wheat,6,31,25,21,1979
Wheat,7,46,25,27,1979
Wheat,21,0,0,21,1979
Wheat,8,35,23,33,1979
Wheat,9,4,4,17,1979
Wheat,10,5,5,21,1979
Wheat,11,61,64,21,1979
Wheat,12,10,7,8,1979
Wheat,13,1,0,19,1979
Wheat,14,48,35,21,1979
Wheat,15,0,0,24,1979
Wheat,16,60,33,30,1979
Wheat,17,26,16,15,1979
Wheat,18,6,2,12,1979
Wheat,19,16,14,21,1979
Wheat,22,0,0,13,1980
Wheat,20,5,3,14,1980
Wheat,1,77,59,3,1980
Wheat,2,1,0,7,1980
Wheat,4,195,121,11,1980
Wheat,5,49,31,9,1980
Wheat,6,203,46,13,1980
Wheat,7,64,50,31,1980
Wheat,21,11,8,13,1980
Wheat,8,118,67,17,1980
Wheat,23,0,0,13,1980
Wheat,9,11,8,26,1980
Wheat,10,22,12,13,1980
Wheat,11,136,116,13,1980
Wheat,12,9,8,13,1980
Wheat,13,3,1,14,1980
Wheat,14,104,82,13,1980
Wheat,15,0,0,13,1980
Wheat,16,141,117,10,1980
Wheat,24,0,0,22,1980
Wheat,17,249,196,4,1980
Wheat,18,12,8,8,1980
Wheat,19,52,41,13,1980
Wheat,22,0,0,27,1981
Wheat,20,5,3,25,1981
Wheat,1,66,48,34,1981
Wheat,2,1,0,5,1981
Wheat,4,187,119,14,1981
Wheat,5,57,38,24,1981
Wheat,6,183,129,31,1981
Wheat,7,94,75,40,1981
Wheat,21,14,10,13,1981
Wheat,8,116,74,66,1981
Wheat,23,0,0,27,1981
Wheat,9,17,13,33,1981
Wheat,10,26,11,27,1981
Wheat,11,133,107,27,1981
Wheat,12,11,10,35,1981
Wheat,13,2,1,27,1981
Wheat,14,88,74,27,1981
Wheat,15,0,0,13,1981
Wheat,16,100,71,54,1981
Wheat,24,0,0,6,1981
Wheat,17,165,125,19,1981
Wheat,18,10,8,22,1981
Wheat,19,45,36,27,1981
Wheat,22,0,0,13,1982
Wheat,20,7,4,26,1982
Wheat,1,63,51,4,1982
Wheat,2,0,0,13,1982
Wheat,4,158,108,11,1982
Wheat,5,60,46,17,1982
Wheat,6,140,111,8,1982
Wheat,7,98,93,35,1982
Wheat,21,19,17,13,1982
Wheat,8,77,55,7,1982
Wheat,23,0,0,13,1982
Wheat,9,6,5,12,1982
Wheat,10,24,14,13,1982
Wheat,11,116,130,13,1982
Wheat,12,16,17,3,1982
Wheat,13,3,1,13,1982
Wheat,14,101,98,13,1982
Wheat,15,0,0,13,1982
Wheat,16,142,108,18,1982
Wheat,24,0,0,20,1982
Wheat,17,194,167,2,1982
Wheat,18,16,14,8,1982
Wheat,19,43,38,13,1982
Wheat,22,0,0,24,1983
Wheat,20,5,2,29,1983
Wheat,1,62,61,10,1983
Wheat,2,0,0,40,1983
Wheat,4,157,141,18,1983
Wheat,5,60,50,23,1983
Wheat,6,166,141,11,1983
Wheat,7,100,99,19,1983
Wheat,21,35,30,24,1983
Wheat,8,61,58,38,1983
Wheat,23,0,0,24,1983
Wheat,9,5,5,30,1983
Wheat,10,20,20,24,1983
Wheat,11,131,130,24,1983
Wheat,12,19,20,6,1983
Wheat,13,2,1,25,1983
Wheat,14,109,106,24,1983
Wheat,15,0,0,38,1983
Wheat,16,124,111,7,1983
Wheat,24,0,0,61,1983
Wheat,17,196,171,9,1983
Wheat,18,10,9,16,1983
Wheat,19,39,39,24,1983
Wheat,22,0,0,7,1984
Wheat,20,8,4,4,1984
Wheat,1,86,80,7,1984
Wheat,2,0,0,1,1984
Wheat,4,160,155,5,1984
Wheat,5,93,78,4,1984
Wheat,6,155,119,13,1984
Wheat,7,144,140,10,1984
Wheat,21,56,46,7,1984
Wheat,8,101,101,13,1984
Wheat,23,0,0,7,1984
Wheat,9,6,6,10,1984
Wheat,10,24,21,7,1984
Wheat,11,149,136,7,1984
Wheat,12,29,26,3,1984
Wheat,13,6,3,9,1984
Wheat,14,163,135,7,1984
Wheat,15,0,0,3,1984
Wheat,16,184,154,4,1984
Wheat,24,0,0,4,1984
Wheat,17,235,196,9,1984
Wheat,18,18,16,21,1984
Wheat,19,53,47,7,1984
Wheat,22,0,0,11,1985
Wheat,20,10,7,3,1985
Wheat,1,66,61,2,1985
Wheat,2,0,0,56,1985
Wheat,4,160,140,2,1985
Wheat,5,98,75,5,1985
Wheat,6,117,89,3,1985
Wheat,7,105,66,1,1985
Wheat,21,42,32,11,1985
Wheat,8,75,59,13,1985
Wheat,23,0,0,11,1985
Wheat,9,12,10,7,1985
Wheat,10,28,21,11,1985
Wheat,11,107,94,11,1985
Wheat,12,319,22,13,1985
Wheat,13,4,2,4,1985
Wheat,14,133,87,11,1985
Wheat,15,0,0,18,1985
Wheat,16,145,108,7,1985
Wheat,24,0,0,25,1985
Wheat,17,130,108,14,1985
Wheat,18,13,9,12,1985
Wheat,19,57,50,11,1985
Wheat,22,0,0,34,1986
Wheat,20,11,4,70,1986
Wheat,1,58,49,10,1986
Wheat,2,0,0,31,1986
Wheat,4,175,142,36,1986
Wheat,5,94,52,49,1986
Wheat,6,140,115,9,1986
Wheat,7,110,63,39,1986
Wheat,21,55,40,34,1986
Wheat,8,88,71,44,1986
Wheat,23,0,0,34,1986
Wheat,9,12,10,40,1986
Wheat,10,31,20,34,1986
Wheat,11,109,73,34,1986
Wheat,12,30,21,26,1986
Wheat,13,4,2,33,1986
Wheat,14,125,96,34,1986
Wheat,15,0,0,74,1986
Wheat,16,130,110,12,1986
Wheat,24,0,0,36,1986
Wheat,17,186,165,15,1986
Wheat,18,20,11,29,1986
Wheat,19,66,47,34,1986
Wheat,22,0,0,14,1987
Wheat,20,18,14,11,1987
Wheat,1,59,44,6,1987
Wheat,2,0,0,22,1987
Wheat,4,184,122,18,1987
Wheat,5,92,64,11,1987
Wheat,6,143,96,12,1987
Wheat,7,121,74,11,1987
Wheat,21,53,37,14,1987
Wheat,8,110,105,4,1987
Wheat,23,0,0,14,1987
Wheat,9,8,7,15,1987
Wheat,10,28,19,14,1987
Wheat,11,113,97,14,1987
Wheat,12,29,20,5,1987
Wheat,13,3,2,15,1987
Wheat,14,122,71,14,1987
Wheat,15,0,0,27,1987
Wheat,16,128,93,3,1987
Wheat,24,0,0,38,1987
Wheat,17,187,131,7,1987
Wheat,18,16,11,22,1987
Wheat,19,61,40,18,1987
Wheat,22,0,0,33,1988
Wheat,20,13,9,34,1988
Wheat,1,50,39,31,1988
Wheat,2,0,0,21,1988
Wheat,4,161,113,19,1988
Wheat,5,76,52,50,1988
Wheat,6,150,110,6,1988
Wheat,7,119,82,48,1988
Wheat,21,47,37,33,1988
Wheat,8,110,91,32,1988
Wheat,23,0,0,33,1988
Wheat,9,9,7,48,1988
Wheat,10,28,21,33,1988
Wheat,11,108,96,33,1988
Wheat,12,28,21,45,1988
Wheat,13,2,1,30,1988
Wheat,14,128,73,33,1988
Wheat,15,0,0,47,1988
Wheat,16,115,87,15,1988
Wheat,24,0,0,14,1988
Wheat,17,173,133,17,1988
Wheat,18,16,11,58,1988
Wheat,19,52,37,56,1988
Wheat,22,0,0,7,1989
Wheat,20,17,9,4,1989
Wheat,1,50,39,5,1989
Wheat,2,0,0,4,1989
Wheat,4,156,87,5,1989
Wheat,5,80,48,11,1989
Wheat,6,187,134,8,1989
Wheat,7,121,57,4,1989
Wheat,21,53,34,7,1989
Wheat,8,113,66,3,1989
Wheat,23,0,0,7,1989
Wheat,9,9,6,2,1989
Wheat,10,26,17,7,1989
Wheat,11,114,68,7,1989
Wheat,12,30,19,7,1989
Wheat,13,4,2,6,1989
Wheat,14,148,69,7,1989
Wheat,15,0,0,1,1989
Wheat,16,120,79,5,1989
Wheat,24,0,0,13,1989
Wheat,17,162,117,8,1989
Wheat,18,17,8,19,1989
Wheat,19,55,32,18,1989
Wheat,22,0,0,30,1990
Wheat,20,10,5,45,1990
Wheat,1,51,41,8,1990
Wheat,2,0,0,37,1990
Wheat,4,136,81,30,1990
Wheat,5,80,50,36,1990
Wheat,6,207,157,2,1990
Wheat,7,113,68,22,1990
Wheat,21,57,39,30,1990
Wheat,8,106,74,48,1990
Wheat,23,0,0,30,1990
Wheat,9,8,5,36,1990
Wheat,10,27,17,30,1990
Wheat,11,111,72,30,1990
Wheat,12,31,20,23,1990
Wheat,13,1,0,68,1990
Wheat,14,176,119,30,1990
Wheat,15,1,0,52,1990
Wheat,16,126,92,13,1990
Wheat,24,0,0,42,1990
Wheat,17,172,122,15,1990
Wheat,18,21,12,23,1990
Wheat,19,47,29,18,1990
Wheat,22,0,0,30,1991
Wheat,20,9,5,24,1991
Wheat,1,40,34,33,1991
Wheat,2,0,0,33,1991
Wheat,4,103,77,56,1991
Wheat,5,76,61,39,1991
Wheat,6,185,146,19,1991
Wheat,7,110,73,48,1991
Wheat,21,58,42,30,1991
Wheat,8,103,75,28,1991
Wheat,23,0,0,30,1991
Wheat,9,8,6,29,1991
Wheat,10,31,24,30,1991
Wheat,11,113,81,30,1991
Wheat,12,25,19,24,1991
Wheat,13,1,0,33,1991
Wheat,14,184,138,30,1991
Wheat,15,0,0,7,1991
Wheat,16,143,105,25,1991
Wheat,24,0,0,29,1991
Wheat,17,164,135,17,1991
Wheat,18,19,11,37,1991
Wheat,19,47,34,31,1991
Wheat,22,0,0,20,1992
Wheat,20,11,8,28,1992
Wheat,1,40,35,4,1992
Wheat,2,0,0,39,1992
Wheat,4,108,85,17,1992
Wheat,5,80,57,13,1992
Wheat,6,231,171,6,1992
Wheat,7,112,664,16,1992
Wheat,21,69,51,20,1992
