Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,,Year
Wheat,14,31130,25097,23.01,,1977
Wheat,15,60960,64195,16.25,,1977
Wheat,16,48000,34932,16.5,,1977
Wheat,17,59600,32505,3,,1977
Wheat,18,560,210,29.25,,1977
Wheat,19,10335,6864,23.01,,1977
Wheat,20,105,54,0.75,,1978
Wheat,1,22610,19813,0.5,,1978
Wheat,2,570,267,0,,1978
Wheat,3,40,30,0,,1978
Wheat,4,66895,50578,4.461538462,,1978
Wheat,5,19220,10734,5,,1978
Wheat,6,17900,12270,4.46,,1978
Wheat,7,33475,12055,3.25,,1978
Wheat,21,0,0,4.46,,1978
Wheat,8,25610,20111,4.46,,1978
Wheat,9,2245,1917,0.75,,1978
Wheat,10,6925,5359,4.46,,1978
Wheat,11,51900,38488,4.46,,1978
Wheat,12,8355,5330,0,,1978
Wheat,13,1800,992,2,,1978
Wheat,14,42000,29059,4.46,,1978
Wheat,15,0,0,25.75,,1978
Wheat,16,60925,27669,17.75,,1978
Wheat,17,14000,6960,1.75,,1978
Wheat,18,5270,2084,0.5,,1978
Wheat,19,15635,11588,4.46,,1978
Wheat,20,190,107,23.25,,1979
Wheat,1,31085,27802,16.25,,1979
Wheat,2,65,36,22.75,,1979
Wheat,3,85,52,22.75,,1979
Wheat,4,63455,47438,13.25,,1979
Wheat,5,22300,14082,30.5,,1979
Wheat,6,31130,25097,20.85,,1979
Wheat,7,46495,24560,27.25,,1979
Wheat,21,0,0,20.85,,1979
Wheat,8,34940,23379,33.25,,1979
Wheat,9,4270,4286,17.25,,1979
Wheat,10,5455,4910,20.85,,1979
Wheat,11,60960,64195,20.85,,1979
Wheat,12,10335,6864,7.75,,1979
Wheat,13,560,210,19.25,,1979
Wheat,14,48000,34932,20.85,,1979
Wheat,15,0,0,23.5,,1979
Wheat,16,59600,32505,29.5,,1979
Wheat,17,25985,15712,14.75,,1979
Wheat,18,6000,2131,11.5,,1979
Wheat,19,15960,14204,20.85,,1979
Wheat,22,0,0,13.46,,1980
Wheat,20,5125,2785,13.75,,1980
Wheat,1,76945,58525,3,,1980
Wheat,2,585,380,7,,1980
Wheat,4,194990,121005,10.75,,1980
Wheat,5,48810,31320,8.75,,1980
Wheat,6,202835,46235,13.46,,1980
Wheat,7,63970,49940,31,,1980
Wheat,21,10660,8400,13.46,,1980
Wheat,8,118310,66740,17,,1980
Wheat,23,0,0,13.46,,1980
Wheat,9,11330,8190,25.5,,1980
Wheat,10,21890,12305,13.46,,1980
Wheat,11,135810,115800,13.46,,1980
Wheat,12,8585,8170,13.46,,1980
Wheat,13,2690,1470,14,,1980
Wheat,14,103645,82295,13.46,,1980
Wheat,15,175,90,13.46,,1980
Wheat,16,140780,117060,10.25,,1980
Wheat,24,420,245,21.5,,1980
Wheat,17,248840,195730,4.25,,1980
Wheat,18,12120,7760,8.25,,1980
Wheat,19,52395,40810,13.46,,1980
Wheat,22,0,0,26.92,,1981
Wheat,20,5410,2805,25,,1981
Wheat,1,65735,47500,33.5,,1981
Wheat,2,590,275,4.5,,1981
Wheat,4,187015,118720,14,,1981
Wheat,5,56805,37560,24,,1981
Wheat,6,183240,128845,30.75,,1981
Wheat,7,94215,75170,40,,1981
Wheat,21,13785,10380,12.5,,1981
Wheat,8,116025,73990,66,,1981
Wheat,23,0,0,26.92,,1981
Wheat,9,16535,13080,32.5,,1981
Wheat,10,26070,11245,26.92,,1981
Wheat,11,133150,106675,26.92,,1981
Wheat,12,10830,10440,34.75,,1981
Wheat,13,2050,830,26.92,,1981
Wheat,14,87880,73785,26.92,,1981
Wheat,15,85,35,13,,1981
Wheat,16,99910,71160,53.5,,1981
Wheat,24,30,10,6,,1981
Wheat,17,165005,125380,19.25,,1981
Wheat,18,10255,8130,21.5,,1981
Wheat,19,45115,36095,26.92,,1981
Wheat,22,0,0,12.93,,1982
Wheat,20,7305,4435,25.5,,1982
Wheat,1,62870,51345,4,,1982
Wheat,2,495,230,12.75,,1982
Wheat,4,157700,107585,11,,1982
Wheat,5,59690,46420,16.5,,1982
Wheat,6,140465,111175,7.75,,1982
Wheat,7,98200,92625,35,,1982
Wheat,21,19330,17065,12.93,,1982
Wheat,8,77490,55445,6.5,,1982
Wheat,23,0,0,12.93,,1982
Wheat,9,5935,5030,11.75,,1982
Wheat,10,24320,14240,12.93,,1982
Wheat,11,115940,130030,12.93,,1982
Wheat,12,15525,17345,2.5,,1982
Wheat,13,2600,1355,13.25,,1982
Wheat,14,101095,97570,12.93,,1982
Wheat,15,300,160,13,,1982
Wheat,16,142080,107575,17.75,,1982
Wheat,24,0,0,19.5,,1982
Wheat,17,193830,167230,2.25,,1982
Wheat,18,15675,13630,8,,1982
Wheat,19,42525,37550,12.93,,1982
Wheat,22,15,5,23.59,,1983
Wheat,20,4590,1755,28.5,,1983
Wheat,1,62370,60700,10.25,,1983
Wheat,2,450,195,39.5,,1983
Wheat,4,157010,141380,18,,1983
Wheat,5,59945,49680,23.25,,1983
Wheat,6,166010,140875,10.75,,1983
Wheat,7,100360,98880,18.5,,1983
Wheat,21,34525,30115,23.59,,1983
Wheat,8,60645,58400,38,,1983
Wheat,23,10,5,23.59,,1983
Wheat,9,4800,4635,30.25,,1983
Wheat,10,20160,19635,23.59,,1983
Wheat,11,131030,129845,23.59,,1983
Wheat,12,19190,19900,5.75,,1983
Wheat,13,2205,1280,25,,1983
Wheat,14,108505,105690,23.59,,1983
Wheat,15,80,35,38,,1983
Wheat,16,123830,110540,6.75,,1983
Wheat,24,15,5,60.5,,1983
Wheat,17,195575,170840,8.5,,1983
Wheat,18,9865,8700,16,,1983
Wheat,19,38570,39210,23.59,,1983
Wheat,22,10,5,7.45,,1984
Wheat,20,7805,4430,4.25,,1984
Wheat,1,86035,79795,7.25,,1984
Wheat,2,455,210,0.75,,1984
Wheat,4,160000,154625,4.75,,1984
Wheat,5,92890,77940,3.5,,1984
Wheat,6,155490,119185,13.25,,1984
Wheat,7,144370,140215,10,,1984
Wheat,21,56380,46490,7.45,,1984
Wheat,8,101120,100530,13,,1984
Wheat,23,25,10,7.45,,1984
Wheat,9,6000,5605,9.75,,1984
Wheat,10,23945,21445,7.45,,1984
Wheat,11,148590,136095,7.45,,1984
Wheat,12,28795,26340,3.25,,1984
Wheat,13,6315,3040,9.25,,1984
Wheat,14,162845,134670,7.45,,1984
Wheat,15,130,65,3.25,,1984
Wheat,16,184055,154430,3.5,,1984
Wheat,24,20,5,3.5,,1984
Wheat,17,235470,196160,9.25,,1984
Wheat,18,17565,15800,20.75,,1984
Wheat,19,52750,46540,7.45,,1984
Wheat,22,10,5,11.39,,1985
Wheat,20,9755,6705,2.75,,1985
Wheat,1,65875,61130,2,,1985
Wheat,2,230,150,55.75,,1985
Wheat,4,159965,140195,2.25,,1985
Wheat,5,98255,75475,4.75,,1985
Wheat,6,117355,88565,3,,1985
Wheat,7,104955,65720,1,,1985
Wheat,21,41810,31880,11.39,,1985
Wheat,8,75200,58635,12.5,,1985
Wheat,23,40,35,11.39,,1985
Wheat,9,11680,10410,6.75,,1985
Wheat,10,28150,20890,11.39,,1985
Wheat,11,107385,94290,11.39,,1985
Wheat,12,318510,22270,12.75,,1985
Wheat,13,4040,2400,3.5,,1985
Wheat,14,133360,86500,11.39,,1985
Wheat,15,350,200,18,,1985
Wheat,16,144580,108380,6.5,,1985
Wheat,24,90,40,25,,1985
Wheat,17,130400,108420,13.5,,1985
Wheat,18,13480,9270,12.25,,1985
Wheat,19,56695,49540,11.39,,1985
Wheat,22,0,0,34.48,,1986
Wheat,20,11320,3950,70.25,,1986
Wheat,1,58400,49310,9.75,,1986
Wheat,2,475,265,31,,1986
Wheat,4,175110,141680,35.5,,1986
Wheat,5,94205,51555,49.25,,1986
Wheat,6,140115,114780,9.25,,1986
Wheat,7,109715,62945,38.5,,1986
Wheat,21,54685,39720,34.48,,1986
Wheat,8,88160,70795,43.5,,1986
Wheat,23,25,10,34.48,,1986
Wheat,9,11675,9630,40.25,,1986
Wheat,10,30845,19800,34.48,,1986
Wheat,11,108675,73190,34.48,,1986
Wheat,12,29835,21370,26,,1986
Wheat,13,3800,2120,33.25,,1986
Wheat,14,125440,96045,34.48,,1986
Wheat,15,200,80,74,,1986
Wheat,16,130220,109760,11.5,,1986
Wheat,24,45,20,36.25,,1986
Wheat,17,185790,165345,14.75,,1986
Wheat,18,20235,11495,28.75,,1986
Wheat,19,66030,47125,34.48,,1986
Wheat,22,5,5,14.35,,1987
Wheat,20,18215,13840,11,,1987
Wheat,1,58635,44360,6.25,,1987
Wheat,2,135,80,22.25,,1987
Wheat,4,184000,122310,17.75,,1987
Wheat,5,91910,64080,11,,1987
Wheat,6,142585,95525,11.5,,1987
Wheat,7,120880,74490,11.25,,1987
Wheat,21,52540,37340,14.35,,1987
Wheat,8,110190,104505,4,,1987
Wheat,23,70,35,14.35,,1987
Wheat,9,8130,6835,15,,1987
Wheat,10,28285,19350,14.35,,1987
Wheat,11,113375,97410,14.35,,1987
Wheat,12,29425,19890,5.25,,1987
Wheat,13,3455,2010,14.75,,1987
Wheat,14,122160,71130,14.35,,1987
Wheat,15,350,210,26.5,,1987
Wheat,16,128065,93210,3.25,,1987
Wheat,24,10,5,38.25,,1987
Wheat,17,186775,131130,6.5,,1987
Wheat,18,16360,10525,21.5,,1987
Wheat,19,60735,39740,18,,1987
Wheat,22,0,0,33.35,,1988
Wheat,20,12750,8950,33.75,,1988
Wheat,1,49840,39175,30.5,,1988
Wheat,2,0,0,21,,1988
Wheat,4,161055,112590,19,,1988
Wheat,5,75720,51550,50,,1988
Wheat,6,149710,110010,6,,1988
Wheat,7,119490,82420,48,,1988
Wheat,21,47280,36850,33.35,,1988
Wheat,8,110000,91245,31.75,,1988
Wheat,23,0,0,33.35,,1988
Wheat,9,8620,7330,47.5,,1988
Wheat,10,27720,21470,33.35,,1988
Wheat,11,107700,96195,33.35,,1988
Wheat,12,27950,20705,44.5,,1988
Wheat,13,2070,1250,29.75,,1988
Wheat,14,128270,73295,33.35,,1988
Wheat,15,330,215,46.5,,1988
Wheat,16,115260,87160,14.5,,1988
Wheat,24,0,0,13.75,,1988
Wheat,17,173105,133315,17.25,,1988
Wheat,18,15540,11195,57.75,,1988
Wheat,19,51620,37030,55.5,,1988
Wheat,22,0,0,7.08,,1989
Wheat,20,16830,8670,3.5,,1989
Wheat,1,50110,38560,5,,1989
Wheat,2,40,30,4,,1989
Wheat,4,156300,86850,4.5,,1989
Wheat,5,79510,48360,11,,1989
Wheat,6,187310,134440,8,,1989
