Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Mymensingh,8355,5330,2,1976
Wheat,Noakhali,1800,992,14,1976
Wheat,Pabna,42000,29059,14.75,1976
Wheat,Patuakhali,0,0,6,1976
Wheat,Rajshahi,60925,27669,2.75,1976
Wheat,Rangpur,14000,6960,0.25,1976
Wheat,Sylhet,5270,2084,14,1976
Wheat,Tangail,15635,11588,14.75,1976
Wheat,Barisal,15960,14204,24.5,1977
Wheat,Bogra,0,0,24,1977
Wheat,Chittagonj  H.T,65,36,26.5,1977
Wheat,Comilla,85,52,26.5,1977
Wheat,Dhaka,6000,2131,29.5,1977
Wheat,Dinajpur,31085,27802,25,1977
Wheat,Faridpur,22300,14082,8.5,1977
Wheat,Jamalpur,46495,24560,23.01666667,1977
Wheat,Jessore,190,107,24,1977
Wheat,Khulna,34940,23379,8,1977
Wheat,Kishoregonj,0,0,23.01,1977
Wheat,Kustia,4270,4286,23.01,1977
Wheat,Mymensingh,5455,4910,46.5,1977
Wheat,Noakhali,63455,47438,37.25,1977
Wheat,Pabna,31130,25097,23.01,1977
Wheat,Patuakhali,60960,64195,16.25,1977
Wheat,Rajshahi,48000,34932,16.5,1977
Wheat,Rangpur,59600,32505,3,1977
Wheat,Sylhet,560,210,29.25,1977
Wheat,Tangail,10335,6864,23.01,1977
Wheat,Barisal,105,54,0.75,1978
Wheat,Bogra,22610,19813,0.5,1978
Wheat,Chittagonj,570,267,0,1978
Wheat,Chittagonj  H.T,40,30,0,1978
Wheat,Comilla,66895,50578,4.461538462,1978
Wheat,Dhaka,19220,10734,5,1978
Wheat,Dinajpur,17900,12270,4.46,1978
Wheat,Faridpur,33475,12055,3.25,1978
Wheat,Jamalpur,0,0,4.46,1978
Wheat,Jessore,25610,20111,4.46,1978
Wheat,Khulna,2245,1917,0.75,1978
Wheat,Kishoregonj,6925,5359,4.46,1978
Wheat,Kustia,51900,38488,4.46,1978
Wheat,Mymensingh,8355,5330,0,1978
Wheat,Noakhali,1800,992,2,1978
Wheat,Pabna,42000,29059,4.46,1978
Wheat,Patuakhali,0,0,25.75,1978
Wheat,Rajshahi,60925,27669,17.75,1978
Wheat,Rangpur,14000,6960,1.75,1978
Wheat,Sylhet,5270,2084,0.5,1978
