Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Jute,Sylhet ,7085,16650,440,1982
Jute,Barisal ,6970,13380,143,1983
Jute,Bogra ,36405,121210,139,1983
Jute,Chittagonj ,145,310,173,1983
Jute,Comilla ,72455,292720,160,1983
Jute,Dhaka ,116205,425560,268,1983
Jute,Dinajpur ,42690,142855,113,1983
Jute,Faridpur ,174165,585160,193,1983
Jute,Jessore ,170555,571730,164,1983
Jute,Khulna ,31515,122320,186,1983
Jute,Mymensingh ,108435,432370,61,1983
Jute,Noakhali ,3980,10745,233,1983
Jute,Patuakhali ,1125,1820,416,1983
Jute,Rajshahi ,47710,162130,53,1983
Jute,Rangamati ,250,585,246,1983
Jute,Rangpur ,275325,1029050,120,1983
Jute,Sylhet ,5380,11515,489,1983
Jute,Barisal ,6690,11715,129,1984
Jute,Bogra ,41250,119715,147,1984
Jute,Chittagonj ,140,240,184,1984
Jute,Comilla ,75345,286310,244,1984
Jute,Dhaka ,131390,437190,279,1984
Jute,Dinajpur ,61015,179345,117,1984
Jute,Faridpur ,207775,518470,202,1984
Jute,Jessore ,187125,504520,108,1984
Jute,Khulna ,48740,170390,108,1984
Jute,Mymensingh ,112300,380850,173,1984
Jute,Noakhali ,3700,9990,205,1984
Jute,Patuakhali ,990,1535,95,1984
Jute,Rajshahi ,63170,189510,35,1984
Jute,Rangamati ,135,310,223,1984
Jute,Rangpur ,360360,1113100,226,1984
Jute,Sylhet ,4810,10100,417,1984
Jute,Barisal ,3663,6616,112,1985
Jute,Bogra ,71244,221192,109,1985
Jute,Chittagonj ,9,9,247,1985
Jute,Comilla ,81295,329185,176,1985
Jute,Dhaka ,144651,510765,224,1985
Jute,Dinajpur ,45695,137870,172,1985
Jute,Faridpur ,148180,483907,193,1985
Jute,Jessore ,148118,556603,74,1985
Jute,Khulna ,36909,123798,151,1985
Jute,Mymensingh ,134746,445273,121,1985
Jute,Noakhali ,3569,9971,77,1985
Jute,Patuakhali ,666,1069,88,1985
Jute,Rajshahi ,93491,299361,91,1985
Jute,Rangamati ,289,696,211,1985
Jute,Rangpur ,326481,1028664,372,1985
Jute,Sylhet ,10757,28968,97,1985
Jute,Barisal ,6229,11989,113,1986
Jute,Bogra ,40771,130106,107,1986
Jute,Chittagonj ,11,18,158,1986
Jute,Comilla ,103856,449483,154,1986
Jute,Dhaka ,122693,429457,81,1986
Jute,Dinajpur ,58018,178779,138,1986
Jute,Faridpur ,152328,504326,155,1986
Jute,Jessore ,117494,430005,199,1986
Jute,Khulna ,32288,110442,78,1986
Jute,Mymensingh ,111586,416177,64,1986
Jute,Noakhali ,2317,5453,133,1986
Jute,Patuakhali ,834,1439,100,1986
Jute,Rajshahi ,75616,252610,124,1986
Jute,Rangamati ,74,191,215,1986
Jute,Rangpur ,297560,1065277,85,1986
Jute,Sylhet ,6218,17486,109,1986
Jute,Barisal ,8870,15630,143,1987
Jute,Bogra ,24840,96355,125,1987
Jute,Chittagonj ,53045,223850,124,1987
Jute,Comilla ,20,75,107,1987
Jute,Dhaka ,111195,382680,100,1987
Jute,Dinajpur ,79960,252865,207,1987
Jute,Faridpur ,152745,526970,92,1987
Jute,Jessore ,148285,608440,138,1987
Jute,Khulna ,18155,75245,148,1987
Jute,Mymensingh ,86415,369400,63,1987
Jute,Noakhali ,3060,6760,101,1987
Jute,Patuakhali ,1230,2090,196,1987
Jute,Rajshahi ,57700,183145,99,1987
Jute,Rangamati ,155,380,269,1987
Jute,Rangpur ,260045,926255,137,1987
Jute,Sylhet ,2830,8715,185,1987
Jute,Tangail ,71990,261295,166,1987
Jute,Barisal ,7960,238250,217,1988
Jute,Bogra ,43950,1755,171,1988
Jute,Chittagonj ,0,0,290,1988
Jute,Comilla ,52435,256670,98,1988
Jute,Dhaka ,119975,178385,247,1988
Jute,Dinajpur ,71820,171490,208,1988
Jute,Faridpur ,154590,349485,179,1988
Jute,Jessore ,121835,26800,314,1988
Jute,Khulna ,26680,458650,125,1988
Jute,Mymensingh ,65100,160300,94,1988
Jute,Noakhali ,4320,7980,125,1988
Jute,Patuakhali ,1125,298565,200,1988
Jute,Rajshahi ,62055,189885,162,1988
Jute,Rangamati ,125,250,531,1988
Jute,Rangpur ,266230,905215,154,1988
Jute,Sylhet ,965,2510,85,1988
Jute,Tangail ,32045,223645,44,1988
Jute,Barisal ,8860,27120,101,1990
Jute,Bogra ,77340,314290,90,1990
Jute,Chittagonj ,0,0,104,1990
Jute,Comilla ,121540,471630,136,1990
Jute,Dhaka ,207970,708220,131,1990
Jute,Dinajpur ,112290,296310,122,1990
Jute,Faridpur ,323330,1116820,79,1990
Jute,Jessore ,256120,1058110,97,1990
Jute,Khulna ,52540,227950,98,1990
Jute,Mymensingh ,107550,381650,77,1990
Jute,Noakhali ,4480,14530,80,1990
Jute,Patuakhali ,2140,3060,134,1990
Jute,Rajshahi ,111720,346960,112,1990
Jute,Rangamati ,5400,13180,289,1990
Jute,Rangpur ,603700,2044210,144,1990
Jute,Sylhet ,5320,15810,94,1990
Jute,Tangail ,196580,647810,157,1990
Jute,Barisal ,3880,12140,138,1991
Jute,Bogra ,32810,131240,313,1991
Jute,Chittagonj ,0,0,209,1991
Jute,Comilla ,50280,220730,140,1991
Jute,Dhaka ,104910,338860,142,1991
Jute,Dinajpur ,59060,169500,308,1991
Jute,Faridpur ,190420,666470,90,1991
Jute,Jessore ,144280,623290,267,1991
Jute,Khulna ,26430,119990,119,1991
Jute,Mymensingh ,60460,194680,67,1991
Jute,Noakhali ,1430,5260,58,1991
Jute,Patuakhali ,1530,2250,257,1991
Jute,Rajshahi ,48040,166700,115,1991
Jute,Rangamati ,70,230,509,1991
Jute,Rangpur ,323640,1126370,184,1991
Jute,Sylhet ,1070,3570,69,1991
Jute,Tangail ,104450,359310,57,1991
Jute,Barisal ,4850,9890,43,1992
Jute,Bogra ,29210,117130,55,1992
Jute,Chittagonj ,0,0,59,1992
Jute,Comilla ,50160,237760,31,1992
Jute,Dhaka ,100750,387890,74,1992
Jute,Dinajpur ,40920,115390,76,1992
Jute,Faridpur ,179100,773710,75,1992
Jute,Jessore ,101850,451200,59,1992
Jute,Khulna ,18340,86200,72,1992
Jute,Mymensingh ,36920,124790,46,1992
Jute,Noakhali ,930,3210,65,1992
Jute,Patuakhali ,1710,2510,57,1992
Jute,Rajshahi ,37110,132850,111,1992
Jute,Rangamati ,110,440,282,1992
Jute,Rangpur ,283200,1062000,64,1992
Jute,Sylhet ,1560,5270,281,1992
Jute,Tangail ,97890,379810,113,1992
Jute,Barisal ,4110,11590,330,1993
Jute,Bogra ,21770,93180,299,1993
Jute,Chittagonj ,0,0,252,1993
Jute,Comilla ,29840,122340,140,1993
Jute,Dhaka ,86960,307840,127,1993
Jute,Dinajpur ,43150,119530,364,1993
Jute,Faridpur ,188950,710450,131,1993
Jute,Jessore ,126120,596550,192,1993
Jute,Khulna ,12230,50270,171,1993
Jute,Mymensingh ,38430,117210,63,1993
Jute,Noakhali ,520,1550,136,1993
Jute,Patuakhali ,1850,2630,272,1993
Jute,Rajshahi ,44620,158400,94,1993
Jute,Rangamati ,120,460,315,1993
Jute,Rangpur ,231710,824890,195,1993
Jute,Sylhet ,1510,5570,124,1993
Jute,Tangail ,84710,275310,64,1993
Jute,Barisal ,4000,13000,221,1994
Jute,Bogra ,29000,127000,153,1994
Jute,Chittagonj ,0,0,190,1994
Jute,Comilla ,40000,169000,65,1994
Jute,Dhaka ,101000,359000,125,1994
Jute,Dinajpur ,48000,142000,196,1994
Jute,Faridpur ,209000,583000,76,1994
Jute,Jessore ,143000,596000,134,1994
Jute,Khulna ,19000,80000,160,1994
Jute,Mymensingh ,53000,192000,50,1994
Jute,Noakhali ,700,2000,73,1994
Jute,Patuakhali ,2000,3000,152,1994
Jute,Rajshahi ,43000,154000,96,1994
Jute,Rangamati ,100,500,394,1994
Jute,Rangpur ,276000,1038000,216,1994
Jute,Sylhet ,2000,8000,54,1994
Jute,Tangail ,105000,389000,42,1994
Jute,Barisal ,8280,24960,112,1995
Jute,Bogra ,26710,117630,148,1995
Jute,Chittagonj ,0,0,117,1995
Jute,Comilla ,97660,495380,21,1995
Jute,Dhaka ,163670,587160,109,1995
Jute,Dinajpur ,114400,317360,188,1995
Jute,Faridpur ,435960,1571330,37,1995
Jute,Jessore ,230940,1043400,132,1995
Jute,Mymensingh ,62040,203430,36,1995
Jute,Noakhali ,1780,6030,78,1995
Jute,Patuakhali ,3850,6060,187,1995
Jute,Rajshahi ,70020,244500,54,1995
Jute,Rangamati ,530,2390,194,1995
Jute,Rangpur ,475510,1613390,86,1995
Jute,Sylhet ,4230,14590,80,1995
Jute,Tangail ,155130,583290,98,1995
Jute,Barisal ,5130,14840,79,1997
Jute,Bogra ,14060,62760,9,1997
Jute,Chittagonj ,0,0,118,1997
Jute,Comilla ,59080,299760,117,1997
Jute,Dhaka ,94820,366020,82,1997
Jute,Dinajpur ,70520,204830,3,1997
Jute,Faridpur ,249230,1096360,20,1997
Jute,Jessore ,151620,718620,51,1997
Jute,Khulna ,25920,122880,99,1997
Jute,Mymensingh ,49520,171870,31,1997
Jute,Noakhali ,1240,4250,115,1997
Jute,Patuakhali ,2020,3680,147,1997
Jute,Rajshahi ,42340,150740,19,1997
Jute,Rangamati ,440,2260,251,1997
Jute,Rangpur ,248140,952580,3,1997
Jute,Sylhet ,2090,7540,111,1997
Jute,Tangail ,82520,314130,20,1997
Jute,Barisal ,3210,8860,273,1998
Jute,Bogra ,14030,58220,26,1998
Jute,Chittagonj ,0,0,97,1998
Jute,Comilla ,52130,186620,109,1998
Jute,Dhaka ,70400,242180,83,1998
Jute,Dinajpur ,52250,155180,24,1998
Jute,Faridpur ,201950,842130,69,1998
Jute,Jessore ,114360,503180,141,1998
Jute,Khagrachari ,0,0,213,1998
Jute,Kustia ,73900,356200,68,1998
Jute,Mymensingh ,40210,129880,150,1998
Jute,Patuakhali ,1860,3660,93,1998
Jute,Rajshahi ,40440,140730,137,1998
Jute,Rangamati ,280,1410,50,1998
Jute,Rangpur ,246030,880790,239,1998
Jute,Sylhet ,1520,4230,48,1998
Jute,Barisal ,3500,6130,0,1999
Jute,Bogra ,14440,61950,0,1999
Jute,Chittagonj ,0,0,2,1999
Jute,Comilla ,29810,111790,0,1999
Jute,Dhaka ,60150,210530,0,1999
Jute,Dinajpur ,45160,142710,0,1999
Jute,Khulna ,17710,81470,0,1999
Jute,Mymensingh ,34040,119140,1,1999
Jute,Noakhali ,330,780,41,1999
Jute,Patuakhali ,910,1740,0,1999
Jute,Rajshahi ,37050,130420,0,1999
Jute,Rangamati ,70,340,3,1999
