Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,6,31.085,27.802,25,1977
Wheat,7,22.3,14.082,8.5,1977
Wheat,21,46.495,24.56,23.01666667,1977
Wheat,8,0.19,0.107,24,1977
Wheat,9,34.94,23.379,8,1977
Wheat,10,0,0,23.01,1977
Wheat,11,4.27,4.286,23.01,1977
Wheat,12,5.455,4.91,46.5,1977
Wheat,13,63.455,47.438,37.25,1977
Wheat,14,31.13,25.097,23.01,1977
Wheat,15,60.96,64.195,16.25,1977
Wheat,16,48,34.932,16.5,1977
Wheat,17,59.6,32.505,3,1977
Wheat,18,0.56,0.21,29.25,1977
Wheat,19,10.335,6.864,23.01,1977
Wheat,20,0.105,0.054,0.75,1978
Wheat,1,22.61,19.813,0.5,1978
Wheat,2,0.57,0.267,0,1978
Wheat,3,0.04,0.03,0,1978
Wheat,4,66.895,50.578,4.461538462,1978
Wheat,5,19.22,10.734,5,1978
Wheat,6,17.9,12.27,4.46,1978
Wheat,7,33.475,12.055,3.25,1978
Wheat,21,0,0,4.46,1978
Wheat,8,25.61,20.111,4.46,1978
Wheat,9,2.245,1.917,0.75,1978
Wheat,10,6.925,5.359,4.46,1978
Wheat,11,51.9,38.488,4.46,1978
Wheat,12,8.355,5.33,0,1978
Wheat,13,1.8,0.992,2,1978
Wheat,14,42,29.059,4.46,1978
Wheat,15,0,0,25.75,1978
Wheat,16,60.925,27.669,17.75,1978
Wheat,17,14,6.96,1.75,1978
Wheat,18,5.27,2.084,0.5,1978
Wheat,19,15.635,11.588,4.46,1978
Wheat,20,0.19,0.107,23.25,1979
Wheat,1,31.085,27.802,16.25,1979
Wheat,2,0.065,0.036,22.75,1979
Wheat,3,0.085,0.052,22.75,1979
Wheat,4,63.455,47.438,13.25,1979
Wheat,5,22.3,14.082,30.5,1979
Wheat,6,31.13,25.097,20.85,1979
Wheat,7,46.495,24.56,27.25,1979
Wheat,21,0,0,20.85,1979
Wheat,8,34.94,23.379,33.25,1979
Wheat,9,4.27,4.286,17.25,1979
Wheat,10,5.455,4.91,20.85,1979
Wheat,11,60.96,64.195,20.85,1979
Wheat,12,10.335,6.864,7.75,1979
Wheat,13,0.56,0.21,19.25,1979
Wheat,14,48,34.932,20.85,1979
Wheat,15,0,0,23.5,1979
Wheat,16,59.6,32.505,29.5,1979
Wheat,17,25.985,15.712,14.75,1979
Wheat,18,6,2.131,11.5,1979
Wheat,19,15.96,14.204,20.85,1979
Wheat,22,0,0,13.46,1980
Wheat,20,5.125,2.785,13.75,1980
Wheat,1,76.945,58.525,3,1980
Wheat,2,0.585,0.38,7,1980
Wheat,4,194.99,121.005,10.75,1980
Wheat,5,48.81,31.32,8.75,1980
Wheat,6,202.835,46.235,13.46,1980
Wheat,7,63.97,49.94,31,1980
Wheat,21,10.66,8.4,13.46,1980
